course_id,college_id,course_name,specialization,duration_years,annual_fees,total_fees,intake
CRS00001,CLG0001,B.Tech,Computer Science and Engineering,4,213833,855332,94
CRS00002,CLG0001,B.Tech,Electronics and Communication Engineering,4,213833,855332,91
CRS00003,CLG0001,B.Tech,Mechanical Engineering,4,213833,855332,94
CRS00004,CLG0001,M.Tech,VLSI Design,2,21651,43302,25
CRS00005,CLG0002,B.Tech,Computer Science and Engineering,4,235910,943640,84
CRS00006,CLG0002,B.Tech,Electronics and Communication Engineering,4,235910,943640,83
CRS00007,CLG0002,B.Tech,Mechanical Engineering,4,235910,943640,100
CRS00008,CLG0002,M.Tech,VLSI Design,2,21358,42716,26
CRS00009,CLG0003,B.Tech,Computer Science and Engineering,4,226044,904176,82
CRS00010,CLG0003,B.Tech,Electronics and Communication Engineering,4,226044,904176,103
CRS00011,CLG0003,B.Tech,Mechanical Engineering,4,226044,904176,77
CRS00012,CLG0003,M.Tech,VLSI Design,2,25845,51690,32
CRS00013,CLG0004,B.Tech,Computer Science and Engineering,4,231792,927168,95
CRS00014,CLG0004,B.Tech,Electronics and Communication Engineering,4,231792,927168,98
CRS00015,CLG0004,B.Tech,Mechanical Engineering,4,231792,927168,84
CRS00016,CLG0004,M.Tech,VLSI Design,2,27226,54452,31
CRS00017,CLG0005,B.Tech,Computer Science and Engineering,4,215374,861496,98
CRS00018,CLG0005,B.Tech,Electronics and Communication Engineering,4,215374,861496,102
CRS00019,CLG0005,B.Tech,Mechanical Engineering,4,215374,861496,78
CRS00020,CLG0005,M.Tech,VLSI Design,2,28201,56402,29
CRS00021,CLG0006,B.Tech,Computer Science and Engineering,4,219438,877752,87
CRS00022,CLG0006,B.Tech,Electronics and Communication Engineering,4,219438,877752,93
CRS00023,CLG0006,B.Tech,Mechanical Engineering,4,219438,877752,103
CRS00024,CLG0006,M.Tech,VLSI Design,2,24952,49904,26
CRS00025,CLG0007,B.Tech,Computer Science and Engineering,4,221280,885120,97
CRS00026,CLG0007,B.Tech,Electronics and Communication Engineering,4,221280,885120,89
CRS00027,CLG0007,B.Tech,Mechanical Engineering,4,221280,885120,89
CRS00028,CLG0007,M.Tech,VLSI Design,2,21895,43790,26
CRS00029,CLG0008,B.Tech,Computer Science and Engineering,4,219951,879804,93
CRS00030,CLG0008,B.Tech,Electronics and Communication Engineering,4,219951,879804,102
CRS00031,CLG0008,B.Tech,Mechanical Engineering,4,219951,879804,91
CRS00032,CLG0008,M.Tech,VLSI Design,2,23158,46316,28
CRS00033,CLG0009,B.Tech,Computer Science and Engineering,4,224025,896100,80
CRS00034,CLG0009,B.Tech,Electronics and Communication Engineering,4,224025,896100,92
CRS00035,CLG0009,B.Tech,Mechanical Engineering,4,224025,896100,93
CRS00036,CLG0009,M.Tech,VLSI Design,2,26254,52508,33
CRS00037,CLG0010,B.Tech,Computer Science and Engineering,4,228433,913732,82
CRS00038,CLG0010,B.Tech,Electronics and Communication Engineering,4,228433,913732,94
CRS00039,CLG0010,B.Tech,Mechanical Engineering,4,228433,913732,86
CRS00040,CLG0010,M.Tech,VLSI Design,2,25882,51764,28
CRS00041,CLG0011,B.Tech,Computer Science and Engineering,4,229281,917124,87
CRS00042,CLG0011,B.Tech,Electronics and Communication Engineering,4,229281,917124,78
CRS00043,CLG0011,B.Tech,Mechanical Engineering,4,229281,917124,77
CRS00044,CLG0011,M.Tech,VLSI Design,2,22489,44978,33
CRS00045,CLG0012,B.Tech,Computer Science and Engineering,4,222471,889884,84
CRS00046,CLG0012,B.Tech,Electronics and Communication Engineering,4,222471,889884,93
CRS00047,CLG0012,B.Tech,Mechanical Engineering,4,222471,889884,84
CRS00048,CLG0012,M.Tech,VLSI Design,2,22356,44712,27
CRS00049,CLG0013,B.Tech,Computer Science and Engineering,4,224928,899712,100
CRS00050,CLG0013,B.Tech,Electronics and Communication Engineering,4,224928,899712,91
CRS00051,CLG0013,B.Tech,Mechanical Engineering,4,224928,899712,80
CRS00052,CLG0013,M.Tech,VLSI Design,2,26257,52514,34
CRS00053,CLG0014,B.Tech,Computer Science and Engineering,4,230334,921336,100
CRS00054,CLG0014,B.Tech,Electronics and Communication Engineering,4,230334,921336,86
CRS00055,CLG0014,B.Tech,Mechanical Engineering,4,230334,921336,100
CRS00056,CLG0014,M.Tech,VLSI Design,2,26060,52120,27
CRS00057,CLG0015,B.Tech,Computer Science and Engineering,4,236054,944216,89
CRS00058,CLG0015,B.Tech,Electronics and Communication Engineering,4,236054,944216,84
CRS00059,CLG0015,B.Tech,Mechanical Engineering,4,236054,944216,87
CRS00060,CLG0015,M.Tech,VLSI Design,2,25230,50460,30
CRS00061,CLG0016,B.Tech,Computer Science and Engineering,4,231576,926304,78
CRS00062,CLG0016,B.Tech,Electronics and Communication Engineering,4,231576,926304,86
CRS00063,CLG0016,B.Tech,Mechanical Engineering,4,231576,926304,77
CRS00064,CLG0016,M.Tech,VLSI Design,2,28499,56998,33
CRS00065,CLG0017,B.Tech,Computer Science and Engineering,4,219849,879396,86
CRS00066,CLG0017,B.Tech,Electronics and Communication Engineering,4,219849,879396,99
CRS00067,CLG0017,B.Tech,Mechanical Engineering,4,219849,879396,96
CRS00068,CLG0017,M.Tech,VLSI Design,2,26256,52512,31
CRS00069,CLG0018,B.Tech,Computer Science and Engineering,4,214013,856052,97
CRS00070,CLG0018,B.Tech,Electronics and Communication Engineering,4,214013,856052,95
CRS00071,CLG0018,B.Tech,Mechanical Engineering,4,214013,856052,97
CRS00072,CLG0018,M.Tech,VLSI Design,2,21487,42974,30
CRS00073,CLG0019,B.Tech,Computer Science and Engineering,4,225330,901320,98
CRS00074,CLG0019,B.Tech,Electronics and Communication Engineering,4,225330,901320,87
CRS00075,CLG0019,B.Tech,Mechanical Engineering,4,225330,901320,85
CRS00076,CLG0019,M.Tech,VLSI Design,2,27443,54886,34
CRS00077,CLG0020,B.Tech,Computer Science and Engineering,4,220293,881172,91
CRS00078,CLG0020,B.Tech,Electronics and Communication Engineering,4,220293,881172,95
CRS00079,CLG0020,B.Tech,Mechanical Engineering,4,220293,881172,81
CRS00080,CLG0020,M.Tech,VLSI Design,2,27007,54014,32
CRS00081,CLG0021,B.Tech,Computer Science and Engineering,4,227916,911664,102
CRS00082,CLG0021,B.Tech,Electronics and Communication Engineering,4,227916,911664,87
CRS00083,CLG0021,B.Tech,Mechanical Engineering,4,227916,911664,97
CRS00084,CLG0021,M.Tech,VLSI Design,2,26862,53724,26
CRS00085,CLG0022,B.Tech,Computer Science and Engineering,4,233376,933504,90
CRS00086,CLG0022,B.Tech,Electronics and Communication Engineering,4,233376,933504,82
CRS00087,CLG0022,B.Tech,Mechanical Engineering,4,233376,933504,92
CRS00088,CLG0022,M.Tech,VLSI Design,2,27136,54272,33
CRS00089,CLG0023,B.Tech,Computer Science and Engineering,4,234810,939240,92
CRS00090,CLG0023,B.Tech,Electronics and Communication Engineering,4,234810,939240,96
CRS00091,CLG0023,B.Tech,Mechanical Engineering,4,234810,939240,94
CRS00092,CLG0023,M.Tech,VLSI Design,2,25925,51850,25
CRS00093,CLG0024,B.Tech,Computer Science and Engineering,4,178345,713380,104
CRS00094,CLG0024,B.Tech,Electronics and Communication Engineering,4,178345,713380,90
CRS00095,CLG0024,B.Tech,Mechanical Engineering,4,178345,713380,92
CRS00096,CLG0024,M.Tech,VLSI Design,2,67722,135444,26
CRS00097,CLG0025,B.Tech,Computer Science and Engineering,4,160803,643212,107
CRS00098,CLG0025,B.Tech,Electronics and Communication Engineering,4,160803,643212,93
CRS00099,CLG0025,B.Tech,Mechanical Engineering,4,160803,643212,99
CRS00100,CLG0025,M.Tech,VLSI Design,2,52038,104076,22
CRS00101,CLG0026,B.Tech,Computer Science and Engineering,4,161364,645456,86
CRS00102,CLG0026,B.Tech,Electronics and Communication Engineering,4,161364,645456,86
CRS00103,CLG0026,B.Tech,Mechanical Engineering,4,161364,645456,105
CRS00104,CLG0026,M.Tech,VLSI Design,2,63852,127704,22
CRS00105,CLG0027,B.Tech,Computer Science and Engineering,4,162802,651208,88
CRS00106,CLG0027,B.Tech,Electronics and Communication Engineering,4,162802,651208,88
CRS00107,CLG0027,B.Tech,Mechanical Engineering,4,162802,651208,110
CRS00108,CLG0027,M.Tech,VLSI Design,2,58196,116392,25
CRS00109,CLG0028,B.Tech,Computer Science and Engineering,4,161385,645540,112
CRS00110,CLG0028,B.Tech,Electronics and Communication Engineering,4,161385,645540,86
CRS00111,CLG0028,B.Tech,Mechanical Engineering,4,161385,645540,95
CRS00112,CLG0028,M.Tech,VLSI Design,2,64762,129524,21
CRS00113,CLG0029,B.Tech,Computer Science and Engineering,4,175973,703892,91
CRS00114,CLG0029,B.Tech,Electronics and Communication Engineering,4,175973,703892,96
CRS00115,CLG0029,B.Tech,Mechanical Engineering,4,175973,703892,114
CRS00116,CLG0029,M.Tech,VLSI Design,2,62386,124772,26
CRS00117,CLG0030,B.Tech,Computer Science and Engineering,4,179506,718024,92
CRS00118,CLG0030,B.Tech,Electronics and Communication Engineering,4,179506,718024,97
CRS00119,CLG0030,B.Tech,Mechanical Engineering,4,179506,718024,101
CRS00120,CLG0030,M.Tech,VLSI Design,2,51946,103892,28
CRS00121,CLG0031,B.Tech,Computer Science and Engineering,4,167682,670728,101
CRS00122,CLG0031,B.Tech,Electronics and Communication Engineering,4,167682,670728,91
CRS00123,CLG0031,B.Tech,Mechanical Engineering,4,167682,670728,108
CRS00124,CLG0031,M.Tech,VLSI Design,2,65459,130918,24
CRS00125,CLG0032,B.Tech,Computer Science and Engineering,4,175428,701712,90
CRS00126,CLG0032,B.Tech,Electronics and Communication Engineering,4,175428,701712,90
CRS00127,CLG0032,B.Tech,Mechanical Engineering,4,175428,701712,111
CRS00128,CLG0032,M.Tech,VLSI Design,2,67713,135426,23
CRS00129,CLG0033,B.Tech,Computer Science and Engineering,4,166332,665328,112
CRS00130,CLG0033,B.Tech,Electronics and Communication Engineering,4,166332,665328,96
CRS00131,CLG0033,B.Tech,Mechanical Engineering,4,166332,665328,108
CRS00132,CLG0033,M.Tech,VLSI Design,2,66741,133482,24
CRS00133,CLG0034,B.Tech,Computer Science and Engineering,4,159944,639776,114
CRS00134,CLG0034,B.Tech,Electronics and Communication Engineering,4,159944,639776,85
CRS00135,CLG0034,B.Tech,Mechanical Engineering,4,159944,639776,100
CRS00136,CLG0034,M.Tech,VLSI Design,2,51835,103670,23
CRS00137,CLG0035,B.Tech,Computer Science and Engineering,4,168233,672932,97
CRS00138,CLG0035,B.Tech,Electronics and Communication Engineering,4,168233,672932,94
CRS00139,CLG0035,B.Tech,Mechanical Engineering,4,168233,672932,96
CRS00140,CLG0035,M.Tech,VLSI Design,2,51959,103918,22
CRS00141,CLG0036,B.Tech,Computer Science and Engineering,4,165962,663848,99
CRS00142,CLG0036,B.Tech,Electronics and Communication Engineering,4,165962,663848,86
CRS00143,CLG0036,B.Tech,Mechanical Engineering,4,165962,663848,85
CRS00144,CLG0036,M.Tech,VLSI Design,2,56913,113826,22
CRS00145,CLG0037,B.Tech,Computer Science and Engineering,4,164671,658684,95
CRS00146,CLG0037,B.Tech,Electronics and Communication Engineering,4,164671,658684,112
CRS00147,CLG0037,B.Tech,Mechanical Engineering,4,164671,658684,102
CRS00148,CLG0037,M.Tech,VLSI Design,2,57688,115376,23
CRS00149,CLG0038,B.Tech,Computer Science and Engineering,4,179738,718952,94
CRS00150,CLG0038,B.Tech,Electronics and Communication Engineering,4,179738,718952,106
CRS00151,CLG0038,B.Tech,Mechanical Engineering,4,179738,718952,111
CRS00152,CLG0038,M.Tech,VLSI Design,2,65344,130688,25
CRS00153,CLG0039,B.Tech,Computer Science and Engineering,4,178304,713216,93
CRS00154,CLG0039,B.Tech,Electronics and Communication Engineering,4,178304,713216,89
CRS00155,CLG0039,B.Tech,Mechanical Engineering,4,178304,713216,107
CRS00156,CLG0039,M.Tech,VLSI Design,2,56356,112712,26
CRS00157,CLG0040,B.Tech,Computer Science and Engineering,4,178782,715128,90
CRS00158,CLG0040,B.Tech,Electronics and Communication Engineering,4,178782,715128,113
