cutoff_id,college_id,exam,category,course,closing_rank,year
CUT00001,CLG0001,JEE Advanced,ST,Electronics and Communication Engineering,58061,2021
CUT00002,CLG0001,JEE Advanced,General,Electronics and Communication Engineering,1647,2022
CUT00003,CLG0001,JEE Advanced,General,Electronics and Communication Engineering,1823,2023
CUT00004,CLG0001,JEE Advanced,OBC-NCL,Electronics and Communication Engineering,8503,2024
CUT00005,CLG0001,JEE Advanced,ST,Electronics and Communication Engineering,52995,2025
CUT00006,CLG0001,JEE Advanced,General,Computer Science and Engineering,593,2021
CUT00007,CLG0001,JEE Advanced,SC,Computer Science and Engineering,8508,2022
CUT00008,CLG0001,JEE Advanced,General,Computer Science and Engineering,566,2023
CUT00009,CLG0001,JEE Advanced,General,Computer Science and Engineering,608,2024
CUT00010,CLG0001,JEE Advanced,OBC-NCL,Computer Science and Engineering,2940,2025
CUT00011,CLG0002,JEE Advanced,General,Civil Engineering,9225,2021
CUT00012,CLG0002,JEE Advanced,General,Civil Engineering,8736,2022
CUT00013,CLG0002,JEE Advanced,OBC-NCL,Civil Engineering,41222,2023
CUT00014,CLG0002,JEE Advanced,OBC-NCL,Civil Engineering,43024,2024
CUT00015,CLG0002,JEE Advanced,General,Civil Engineering,8953,2025
CUT00016,CLG0002,JEE Advanced,General,Mechanical Engineering,3600,2021
CUT00017,CLG0002,JEE Advanced,General,Mechanical Engineering,3911,2022
CUT00018,CLG0002,JEE Advanced,EWS,Mechanical Engineering,21124,2023
CUT00019,CLG0002,JEE Advanced,OBC-NCL,Mechanical Engineering,17503,2024
CUT00020,CLG0002,JEE Advanced,General,Mechanical Engineering,3583,2025
CUT00021,CLG0003,JEE Advanced,OBC-NCL,Mechanical Engineering,2926,2021
CUT00022,CLG0003,JEE Advanced,OBC-NCL,Mechanical Engineering,3200,2022
CUT00023,CLG0003,JEE Advanced,General,Mechanical Engineering,689,2023
CUT00024,CLG0003,JEE Advanced,SC,Mechanical Engineering,9753,2024
CUT00025,CLG0003,JEE Advanced,OBC-NCL,Mechanical Engineering,2895,2025
CUT00026,CLG0003,JEE Advanced,EWS,Electrical Engineering,1559,2021
CUT00027,CLG0003,JEE Advanced,OBC-NCL,Electrical Engineering,1221,2022
CUT00028,CLG0003,JEE Advanced,OBC-NCL,Electrical Engineering,1277,2023
CUT00029,CLG0003,JEE Advanced,General,Electrical Engineering,301,2024
CUT00030,CLG0003,JEE Advanced,OBC-NCL,Electrical Engineering,1236,2025
CUT00031,CLG0004,JEE Advanced,OBC-NCL,Electronics and Communication Engineering,5961,2021
CUT00032,CLG0004,JEE Advanced,ST,Electronics and Communication Engineering,40911,2022
CUT00033,CLG0004,JEE Advanced,General,Electronics and Communication Engineering,1209,2023
CUT00034,CLG0004,JEE Advanced,OBC-NCL,Electronics and Communication Engineering,5636,2024
CUT00035,CLG0004,JEE Advanced,SC,Electronics and Communication Engineering,16931,2025
CUT00036,CLG0004,JEE Advanced,General,Biotechnology,22261,2021
CUT00037,CLG0004,JEE Advanced,General,Biotechnology,21620,2022
CUT00038,CLG0004,JEE Advanced,EWS,Biotechnology,109007,2023
CUT00039,CLG0004,JEE Advanced,SC,Biotechnology,180000,2024
CUT00040,CLG0004,JEE Advanced,General,Biotechnology,19193,2025
CUT00041,CLG0005,JEE Advanced,General,Artificial Intelligence and Data Science,179,2021
CUT00042,CLG0005,JEE Advanced,General,Artificial Intelligence and Data Science,178,2022
CUT00043,CLG0005,JEE Advanced,General,Artificial Intelligence and Data Science,156,2023
CUT00044,CLG0005,JEE Advanced,SC,Artificial Intelligence and Data Science,2325,2024
CUT00045,CLG0005,JEE Advanced,General,Artificial Intelligence and Data Science,156,2025
CUT00046,CLG0005,JEE Advanced,ST,Computer Science and Engineering,4237,2021
CUT00047,CLG0005,JEE Advanced,General,Computer Science and Engineering,134,2022
CUT00048,CLG0005,JEE Advanced,General,Computer Science and Engineering,132,2023
CUT00049,CLG0005,JEE Advanced,General,Computer Science and Engineering,142,2024
CUT00050,CLG0005,JEE Advanced,General,Computer Science and Engineering,150,2025
CUT00051,CLG0006,JEE Advanced,OBC-NCL,Computer Science and Engineering,4063,2021
CUT00052,CLG0006,JEE Advanced,OBC-NCL,Computer Science and Engineering,4432,2022
CUT00053,CLG0006,JEE Advanced,General,Computer Science and Engineering,1034,2023
CUT00054,CLG0006,JEE Advanced,General,Computer Science and Engineering,936,2024
CUT00055,CLG0006,JEE Advanced,OBC-NCL,Computer Science and Engineering,4223,2025
CUT00056,CLG0006,JEE Advanced,SC,Electronics and Communication Engineering,42880,2021
CUT00057,CLG0006,JEE Advanced,General,Electronics and Communication Engineering,3048,2022
